name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Pisa vs Como,2026-01-06 14:00:00,Como won after full-time.,Italy Serie A,Pisa,Como,0.0,3.0,19,6,1.0,5.0,3.0,7.0,10.0,15.0,72.0,130.0,34.0,66.0,27.0,73.0,1.0,1.0,8.0,10.0,2.0,5.0,2.0,0.0,14.0,6.0,6.0,12.0,9.0,13.0,5.0,4.0,2.0,2.0,5.33,3.57,1.78,1.85,2.03,,,1.93,1.97,,,5.25,3.4,1.7,1.75,2.0,1.82,2.02,1.85,2.0,,,0.19,0.28,0.56,0.49,0.54,,,0.52,0.51,,,0.19,0.29,0.59,0.57,0.5,0.55,0.5,0.54,0.5,,,2025-2026
Lecce vs Roma,2026-01-06 17:00:00,Roma won after full-time.,Italy Serie A,Lecce,Roma,0.0,2.0,16,5,2.0,2.0,1.0,5.0,6.0,10.0,110.0,109.0,47.0,49.0,51.0,49.0,,,2.0,6.0,4.0,4.0,2.0,2.0,11.0,10.0,2.0,5.0,10.0,20.0,1.0,1.0,3.0,1.0,5.45,3.46,1.78,1.78,2.13,1.83,2.07,1.97,1.93,,,5.0,3.5,1.75,1.7,2.05,2.05,1.8,1.95,1.9,,,0.18,0.29,0.56,0.47,0.56,0.55,0.48,0.51,0.52,,,0.2,0.29,0.57,0.59,0.49,0.49,0.56,0.51,0.53,,,2025-2026
Sassuolo vs Juventus,2026-01-06 19:45:00,Juventus won after full-time.,Italy Serie A,Sassuolo,Juventus,0.0,3.0,11,6,5.0,5.0,4.0,6.0,6.0,17.0,72.0,141.0,35.0,82.0,44.0,56.0,,,2.0,13.0,4.0,4.0,1.0,0.0,7.0,7.0,6.0,15.0,3.0,12.0,8.0,2.0,,,5.79,3.74,1.68,1.85,2.02,,,,,2.03,1.88,5.25,3.7,1.66,1.8,1.95,,,2.05,1.8,2.0,1.85,0.17,0.27,0.6,0.5,0.54,,,,,0.49,0.53,0.19,0.27,0.6,0.56,0.51,,,0.49,0.56,0.5,0.54,2025-2026
Bologna vs Atalanta,2026-01-07 17:30:00,Atalanta won after full-time.,Italy Serie A,Bologna,Atalanta,0.0,2.0,7,8,6.0,6.0,5.0,4.0,11.0,11.0,94.0,107.0,52.0,44.0,53.0,47.0,,,9.0,7.0,2.0,4.0,1.0,5.0,4.0,4.0,4.0,9.0,16.0,15.0,3.0,2.0,0.0,1.0,3.24,3.33,2.39,2.15,1.76,,,1.84,2.07,2.1,1.82,3.2,3.3,2.3,1.95,1.8,,,1.92,1.92,2.05,1.8,0.31,0.3,0.42,0.57,0.47,,,0.54,0.48,0.48,0.55,0.31,0.3,0.43,0.51,0.56,,,0.52,0.52,0.49,0.56,2025-2026
Napoli vs Hellas Verona,2026-01-07 17:30:00,Game ended in draw.,Italy Serie A,Napoli,Hellas Verona,2.0,2.0,3,18,6.0,1.0,6.0,5.0,15.0,11.0,135.0,84.0,58.0,26.0,70.0,30.0,0.0,1.0,11.0,2.0,4.0,9.0,2.0,1.0,7.0,12.0,10.0,9.0,7.0,15.0,2.0,2.0,0.0,3.0,1.31,5.25,12.3,1.52,2.66,,,1.83,2.09,2.03,1.86,1.3,5.0,11.0,1.5,2.5,,,2.02,1.82,1.95,1.9,0.76,0.19,0.08,0.38,0.66,,,0.55,0.48,0.49,0.54,0.77,0.2,0.09,0.67,0.4,,,0.5,0.55,0.51,0.53,2025-2026
Lazio vs Fiorentina,2026-01-07 19:45:00,Game ended in draw.,Italy Serie A,Lazio,Fiorentina,2.0,2.0,9,20,8.0,2.0,2.0,1.0,17.0,8.0,96.0,86.0,49.0,31.0,49.0,51.0,1.0,1.0,12.0,6.0,5.0,2.0,0.0,1.0,3.0,5.0,10.0,5.0,11.0,15.0,3.0,6.0,3.0,5.0,2.36,3.12,3.52,1.88,1.99,,,2.1,1.82,,,2.3,3.0,3.5,1.8,1.95,,,2.05,1.8,,,0.42,0.32,0.28,0.5,0.53,,,0.48,0.55,,,0.43,0.33,0.29,0.56,0.51,,,0.49,0.56,,,2025-2026
Parma vs Inter,2026-01-07 19:45:00,Inter won after full-time.,Italy Serie A,Parma,Inter,0.0,2.0,15,1,1.0,3.0,3.0,11.0,4.0,26.0,88.0,156.0,28.0,89.0,37.0,63.0,,,3.0,16.0,1.0,10.0,1.0,1.0,14.0,5.0,3.0,15.0,4.0,20.0,6.0,0.0,0.0,3.0,9.84,5.38,1.34,1.81,2.08,,,,,,,10.0,4.75,1.33,1.75,2.0,,,,,,,0.1,0.19,0.75,0.48,0.55,,,,,,,0.1,0.21,0.75,0.57,0.5,,,,,,,2025-2026
Torino vs Udinese,2026-01-07 19:45:00,Udinese won after full-time.,Italy Serie A,Torino,Udinese,1.0,2.0,10,12,3.0,6.0,5.0,3.0,10.0,9.0,112.0,84.0,54.0,39.0,54.0,46.0,,,7.0,9.0,3.0,0.0,1.0,0.0,5.0,8.0,8.0,9.0,16.0,8.0,2.0,3.0,2.0,1.0,2.25,3.1,3.84,1.88,1.99,1.8,2.14,2.09,1.83,,,2.2,3.1,3.6,1.75,2.0,1.77,2.1,2.05,1.8,,,0.44,0.32,0.26,0.5,0.53,0.56,0.47,0.48,0.55,,,0.45,0.32,0.28,0.57,0.5,0.56,0.48,0.49,0.56,,,2025-2026
Cremonese vs Cagliari,2026-01-08 17:30:00,Game ended in draw.,Italy Serie A,Cremonese,Cagliari,2.0,2.0,13,14,2.0,4.0,5.0,9.0,12.0,21.0,84.0,109.0,31.0,59.0,44.0,56.0,,,8.0,13.0,4.0,8.0,0.0,1.0,14.0,7.0,5.0,7.0,16.0,12.0,3.0,3.0,2.0,2.0,2.53,2.89,3.49,1.75,2.16,1.98,1.92,2.05,1.84,,,2.4,2.9,3.4,1.7,2.05,1.97,1.87,1.87,1.97,,,0.4,0.35,0.29,0.46,0.57,0.51,0.52,0.49,0.54,,,0.42,0.34,0.29,0.59,0.49,0.51,0.53,0.53,0.51,,,2025-2026
AC Milan vs Genoa,2026-01-08 19:45:00,,Italy Serie A,AC Milan,Genoa,,,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,4.15,8.35,1.61,2.42,,,1.99,1.9,2.05,1.84,1.45,4.0,8.5,1.57,2.25,,,1.97,1.87,1.87,1.97,0.67,0.24,0.12,0.41,0.62,,,0.5,0.53,0.49,0.54,0.69,0.25,0.12,0.64,0.44,,,0.51,0.53,0.53,0.51,2025-2026
