team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
AFC Bournemouth,1.92,1.23,5.5,4.12,5.56,3.06,14.19,9.0,95.62,89.06,51.62,46.25,51.82,48.18,1.0,0.25,8.25,5.25,5.88,3.75,2.33,0.93,6.62,10.12,8.2,5.8,11.38,10.44,2.13,3.27,1.88,1.88,0.43,0.26,0.33,0.61,0.43,,,0.53,0.49,0.53,0.5,0.45,0.27,0.34,0.46,0.61,,,0.55,0.5,0.53,0.52,England Premier League,2025-2026,2.06,1.75,6.47,5.29,4.88,4.76,15.82,13.06,93.88,88.53,59.47,45.88,53.29,46.71,0.71,0.29,11.88,8.29,3.94,4.76,1.18,1.76,7.35,8.71,9.47,8.76,10.65,12.94,3.0,3.71,1.94,2.65,0.48,0.26,0.3,0.61,0.42,,,,,0.52,0.5,0.49,0.26,0.3,0.45,0.62,,,0.53,0.51,0.52,0.53
Arsenal,2.35,0.65,6.24,2.94,6.18,2.53,16.65,7.0,104.71,73.94,64.94,33.12,56.88,43.12,1.0,0.0,11.71,4.41,4.94,2.59,2.47,0.73,5.0,9.47,10.29,4.41,10.18,11.82,1.53,3.0,0.93,2.27,0.71,0.2,0.12,0.49,0.55,,,0.54,0.48,0.53,0.5,0.71,0.2,0.14,0.56,0.51,,,0.5,0.54,0.52,0.52,England Premier League,2025-2026,0.8,1.47,4.19,5.75,3.44,4.5,9.94,12.56,83.25,95.0,40.12,54.44,44.88,55.12,0.0,1.0,6.56,9.69,3.38,2.88,0.79,1.29,7.94,6.38,6.06,7.94,10.06,10.62,2.81,1.88,1.93,2.07,0.22,0.25,0.55,0.51,0.52,,,0.53,0.49,0.51,0.52,0.23,0.26,0.57,0.54,0.53,,,0.53,0.51,0.52,0.52
Aston Villa,1.69,1.19,5.53,4.88,4.71,3.47,13.59,10.88,84.88,84.47,52.65,44.24,52.76,47.24,0.0,1.0,8.88,7.41,4.71,3.47,1.06,3.12,6.94,7.47,8.29,7.18,9.82,13.35,3.0,3.12,1.29,2.59,0.47,0.27,0.29,0.58,0.46,,,0.55,0.48,0.52,0.51,0.48,0.28,0.3,0.49,0.58,,,0.55,0.5,0.52,0.52,England Premier League,2025-2026,1.6,1.47,4.94,5.0,5.24,4.41,14.71,11.53,90.88,82.71,48.82,45.06,46.0,54.0,,,9.53,7.0,5.18,4.47,2.94,1.06,7.65,9.47,8.82,7.82,13.06,9.76,2.94,3.24,2.18,1.76,0.41,0.27,0.36,0.58,0.45,,,0.53,0.49,0.52,0.51,0.42,0.27,0.36,0.48,0.59,,,0.54,0.5,0.52,0.52
Brentford,2.07,1.13,4.0,4.71,4.88,4.0,11.82,12.29,95.35,97.47,47.41,49.82,46.35,53.65,0.71,0.43,8.94,8.0,2.88,4.29,1.44,0.88,6.59,9.0,8.24,6.76,9.82,9.82,2.65,2.59,1.62,2.0,0.4,0.27,0.36,0.57,0.46,,,0.5,0.52,0.52,0.51,0.42,0.27,0.37,0.49,0.59,0.48,0.56,0.5,0.54,0.53,0.52,England Premier League,2025-2026,1.8,1.13,5.76,5.24,5.06,3.0,13.71,8.82,93.82,82.76,62.24,44.18,52.29,47.71,0.67,0.83,8.41,6.59,5.29,2.29,1.12,2.0,6.06,9.0,8.38,5.75,8.82,11.12,2.65,2.88,2.0,2.12,0.46,0.27,0.29,0.58,0.46,,,0.53,0.5,0.51,0.52,0.47,0.28,0.3,0.48,0.59,,,0.54,0.5,0.51,0.53
Brighton & Hove Albion,1.76,1.0,5.22,4.61,5.22,4.06,13.83,9.78,101.5,78.17,55.94,42.78,55.17,44.83,0.5,0.75,8.83,7.22,5.0,2.61,1.78,1.56,7.78,9.72,9.29,7.12,11.33,10.94,2.56,3.28,1.89,2.17,0.48,0.26,0.29,0.59,0.44,,,,,0.52,0.51,0.48,0.27,0.31,0.48,0.6,,,,,0.52,0.52,England Premier League,2025-2026,1.56,1.25,4.94,4.65,5.65,4.59,13.88,11.94,91.82,90.88,47.0,51.24,47.35,52.65,0.75,0.75,9.59,8.24,4.29,3.71,1.41,1.65,9.06,7.71,9.12,7.82,9.35,12.76,2.65,2.94,2.06,2.94,0.41,0.26,0.35,0.61,0.43,,,0.54,0.48,0.52,0.5,0.42,0.27,0.37,0.46,0.62,,,0.53,0.52,0.52,0.52
Burnley,1.0,1.64,3.62,5.38,3.75,5.62,10.56,15.62,91.81,95.75,43.88,55.06,43.12,56.88,0.0,1.0,6.69,10.31,3.88,5.31,1.19,1.38,10.25,6.19,6.19,10.19,10.06,8.19,3.94,2.19,1.47,1.13,0.21,0.25,0.57,0.52,0.51,0.55,0.48,0.51,0.52,0.52,0.51,0.22,0.25,0.58,0.53,0.54,0.56,0.49,0.52,0.52,0.52,0.52,England Premier League,2025-2026,2.59,1.12,6.0,3.47,7.18,2.18,17.71,7.76,106.24,81.18,58.47,34.47,58.35,41.65,1.0,0.33,11.82,4.41,5.88,3.35,1.53,1.65,4.88,11.29,11.35,5.0,9.71,10.47,2.06,3.69,1.31,2.19,0.66,0.22,0.15,0.51,0.53,0.53,0.5,0.51,0.52,0.52,0.51,0.67,0.23,0.15,0.54,0.53,,,0.52,0.52,0.52,0.52
Chelsea,1.44,1.44,6.94,3.82,5.41,3.29,15.71,10.06,108.82,79.65,64.65,38.82,59.41,40.59,1.0,0.4,9.76,6.65,5.94,3.41,1.85,1.38,5.88,9.65,9.76,6.76,10.71,12.18,2.59,3.0,2.12,2.35,0.54,0.24,0.24,0.59,0.44,,,0.54,0.49,0.52,0.51,0.55,0.25,0.25,0.47,0.61,,,0.56,0.49,0.53,0.51,England Premier League,2025-2026,1.47,1.82,4.61,5.22,4.17,4.11,11.22,11.83,88.56,94.89,47.56,46.33,43.5,56.5,0.0,1.5,8.22,8.72,2.94,3.11,1.71,1.76,6.61,6.89,7.72,7.94,11.83,11.22,2.89,2.89,1.94,2.72,0.34,0.26,0.42,0.6,0.44,,,,,0.53,0.5,0.35,0.27,0.44,0.47,0.61,,,,,0.53,0.52
Crystal Palace,1.42,1.75,4.29,4.47,5.35,4.18,13.65,10.24,92.59,100.29,48.18,44.94,47.71,52.29,0.5,0.5,9.94,7.06,3.71,3.18,2.0,1.53,7.35,9.0,9.06,7.35,10.0,10.0,2.59,3.06,1.59,2.29,0.4,0.28,0.34,0.57,0.47,,,0.54,0.49,0.51,0.51,0.41,0.29,0.35,0.49,0.58,,,0.52,0.52,0.53,0.52,England Premier League,2025-2026,1.44,1.25,5.76,4.0,4.41,3.59,12.53,9.76,100.71,80.65,51.59,39.88,55.06,44.94,0.43,0.57,8.88,7.12,3.65,2.65,1.62,1.94,7.18,7.88,7.76,6.59,9.35,11.06,2.12,3.0,1.71,2.79,0.46,0.27,0.3,0.54,0.49,,,0.51,0.52,0.52,0.52,0.47,0.27,0.31,0.51,0.56,,,0.51,0.54,0.52,0.52
Everton,1.56,1.44,4.76,5.0,4.41,3.76,12.35,11.59,94.59,94.12,52.47,44.88,46.0,54.0,0.5,0.5,8.65,7.76,3.71,3.76,1.64,1.43,5.94,6.53,7.76,7.24,10.18,11.65,2.53,2.88,2.0,2.19,0.39,0.29,0.36,0.54,0.49,0.56,0.47,0.52,0.5,0.51,0.51,0.4,0.29,0.36,0.51,0.56,0.5,0.55,0.53,0.52,0.52,0.52,England Premier League,2025-2026,1.25,1.12,5.53,3.82,6.59,3.53,16.41,10.06,110.59,86.59,58.12,43.24,59.12,40.88,1.0,0.0,11.0,7.06,5.29,3.0,1.25,1.5,5.94,10.41,10.0,6.06,10.47,11.0,2.12,3.0,1.12,2.0,0.48,0.27,0.27,0.52,0.52,0.54,0.49,0.51,0.52,0.52,0.51,0.49,0.28,0.28,0.53,0.55,0.55,0.5,0.51,0.53,0.53,0.52
Fulham,1.56,1.11,5.44,5.67,5.44,4.22,13.78,10.61,90.78,88.61,51.56,47.28,53.11,46.89,0.67,0.33,9.44,7.83,4.33,2.78,1.89,2.11,7.89,8.33,8.5,6.56,10.61,10.5,2.41,2.59,2.12,2.38,0.39,0.28,0.36,0.57,0.47,,,0.54,0.49,0.52,0.51,0.4,0.28,0.38,0.49,0.58,,,0.52,0.52,0.51,0.53,England Premier League,2025-2026,1.93,0.87,5.47,4.29,4.65,4.12,13.35,11.06,102.35,85.12,51.18,42.76,50.12,49.88,0.67,0.33,8.82,7.41,4.53,3.59,3.41,1.65,7.06,8.76,9.29,7.0,9.06,11.12,2.29,3.06,1.31,2.38,0.5,0.27,0.26,0.56,0.48,,,0.54,0.49,0.51,0.52,0.51,0.27,0.27,0.5,0.57,,,0.53,0.51,0.52,0.52
