team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Akhmat Grozny,1.57,1.43,5.43,4.43,5.43,2.29,14.86,9.71,92.71,90.0,49.43,40.29,46.71,53.29,2.0,0.0,9.0,6.0,6.14,3.43,1.86,1.0,5.14,7.71,9.71,5.71,9.71,16.43,2.14,3.57,1.71,3.29,0.43,0.27,0.33,0.55,0.49,,,0.54,0.49,0.5,0.53,,,,,,,,,,,,Russia Premier League,2025-2026,1.62,1.0,3.11,3.89,4.89,3.56,12.56,10.78,92.0,91.33,44.67,38.67,53.44,46.56,0.0,1.33,7.67,6.89,4.89,4.0,1.78,1.78,7.0,7.44,9.12,6.88,15.33,14.11,2.0,2.67,2.78,1.78,0.42,0.29,0.33,0.52,0.52,0.5,0.53,0.49,0.54,0.51,0.52,,,,,,,,,,,
Akron,1.22,1.56,4.11,5.0,3.89,6.0,11.11,14.22,99.67,95.44,49.33,46.56,46.0,54.0,1.33,0.67,6.89,9.56,4.11,4.56,1.67,1.89,7.0,8.56,8.44,10.33,15.11,14.22,2.89,3.33,1.67,1.44,0.34,0.26,0.43,0.59,0.45,,,0.49,0.54,0.52,0.51,,,,,,,,,,,,Russia Premier League,2025-2026,1.25,1.38,4.5,4.62,6.0,4.75,16.62,11.12,96.38,86.5,49.12,41.0,57.25,42.75,0.5,1.25,9.75,8.5,6.12,2.5,2.0,2.88,8.25,8.0,10.88,6.88,12.12,14.88,1.86,5.43,2.25,2.12,0.57,0.24,0.22,0.56,0.48,0.55,0.49,0.54,0.5,0.53,0.5,,,,,,,,,,,
Baltika,2.0,1.0,3.0,4.4,5.0,3.4,11.6,9.6,84.6,101.6,41.8,47.0,42.6,57.4,2.5,0.0,6.6,4.8,4.8,4.4,2.6,1.6,7.0,7.0,8.6,6.8,21.4,10.8,3.0,2.4,2.8,2.4,0.45,0.29,0.29,0.47,0.57,0.52,0.5,0.51,0.52,0.5,0.54,,,,,,,,,,,,Russia Premier League,2025-2026,0.43,1.71,4.75,3.38,4.88,5.88,11.38,13.12,97.5,92.75,42.0,42.62,52.5,47.5,0.5,1.0,6.75,7.62,3.5,5.25,1.25,2.5,8.62,7.38,7.88,9.75,11.88,20.0,3.38,2.62,2.38,3.5,0.41,0.29,0.34,0.5,0.54,0.51,0.53,0.49,0.54,0.53,0.51,,,,,,,,,,,
Baltika Kaliningrad,1.33,0.33,4.33,6.0,5.33,6.0,12.67,12.67,81.0,86.0,44.67,41.67,39.0,61.0,,,8.33,6.67,4.33,6.0,2.0,1.67,9.33,5.33,8.33,9.0,17.67,11.67,2.33,2.67,3.33,3.0,0.31,0.33,0.39,0.46,0.58,0.5,0.53,0.48,0.56,,,,,,,,,,,,,,Russia Premier League,2025-2026,,,7.0,3.0,2.0,2.0,11.0,8.0,72.0,92.0,42.0,47.0,46.0,54.0,,,7.0,6.0,4.0,2.0,2.0,4.0,5.0,8.0,11.0,4.0,13.0,22.0,2.0,5.0,3.0,3.0,0.28,0.3,0.45,0.52,0.52,,,0.52,0.51,,,,,,,,,,,,,
CSKA Moskva,2.22,0.67,4.56,5.67,5.33,5.56,14.44,12.33,105.33,79.22,53.44,39.0,58.22,41.78,2.0,0.0,9.56,8.22,4.78,4.11,1.56,1.67,8.33,9.89,10.78,8.89,11.33,16.11,2.67,3.22,1.89,3.0,0.57,0.25,0.22,0.55,0.49,,,0.52,0.51,0.51,0.52,,,,,,,,,,,,Russia Premier League,2025-2026,1.17,1.33,5.25,5.5,7.38,4.88,15.38,12.62,84.25,95.62,44.75,44.75,46.5,53.5,1.0,2.0,10.0,7.62,5.25,4.75,0.86,2.43,7.0,10.38,11.86,8.57,13.62,12.62,3.0,3.5,1.88,2.25,0.35,0.28,0.4,0.55,0.49,0.55,0.48,0.52,0.51,0.51,0.52,,,,,,,,,,,
Dinamo Moskva,1.89,1.67,5.67,3.67,5.44,2.67,16.33,9.22,102.0,81.0,54.0,36.89,58.0,42.0,1.0,1.5,9.22,7.22,5.67,2.0,1.78,3.44,4.67,8.0,11.0,5.56,12.44,15.11,1.89,3.78,1.56,2.33,0.56,0.25,0.23,0.58,0.46,,,0.55,0.48,0.52,0.52,,,,,,,,,,,,Russia Premier League,2025-2026,1.33,1.33,4.43,4.57,3.71,6.0,10.43,13.43,100.0,94.43,45.71,48.71,47.29,52.71,0.0,2.0,6.43,7.43,3.71,6.14,3.14,1.43,7.57,6.57,7.0,8.86,13.14,14.57,2.14,2.29,2.43,2.43,0.32,0.26,0.46,0.59,0.45,,,0.55,0.48,0.53,0.51,,,,,,,,,,,
Dynamo Makhachkala,0.86,0.71,4.75,3.5,4.88,4.88,10.75,10.88,105.62,95.88,48.75,42.5,47.0,53.0,,,6.75,6.88,3.38,4.12,2.0,1.75,7.88,8.5,7.5,6.62,14.0,17.5,2.14,2.43,2.12,2.62,0.33,0.31,0.4,0.49,0.55,0.53,0.5,0.51,0.53,0.51,0.53,,,,,,,,,,,,Russia Premier League,2025-2026,1.88,0.25,3.88,3.62,3.62,4.5,9.75,9.88,93.0,109.88,43.88,49.38,51.38,48.62,1.5,0.25,5.62,5.25,3.88,4.12,2.75,1.62,7.88,6.38,7.88,7.12,17.25,13.25,2.5,2.12,1.88,2.5,0.55,0.27,0.22,0.45,0.6,0.52,0.52,0.5,0.54,0.52,0.52,,,,,,,,,,,
FK Nizjni Novgorod,1.14,1.71,4.0,4.89,4.56,5.33,12.33,11.67,90.44,99.89,45.56,45.44,47.44,52.56,0.0,2.5,7.11,8.56,5.0,3.11,1.78,1.44,7.22,7.11,8.56,8.0,17.11,13.11,2.11,3.78,2.44,2.0,0.26,0.27,0.5,0.52,0.52,0.53,0.5,0.51,0.53,0.5,0.53,,,,,,,,,,,,Russia Premier League,2025-2026,2.0,0.38,6.62,4.38,6.12,3.75,15.62,10.12,103.62,75.88,53.0,31.12,61.25,38.75,1.0,0.5,10.62,6.12,4.12,3.62,2.0,1.88,6.38,10.0,11.12,6.25,12.25,17.0,2.88,3.75,2.12,2.5,0.64,0.22,0.17,0.53,0.52,,,0.52,0.51,0.51,0.52,,,,,,,,,,,
Krasnodar,1.75,0.88,5.25,2.88,7.0,3.0,18.0,7.88,94.62,80.38,50.5,38.12,58.0,42.0,0.0,1.67,11.88,4.5,6.0,3.38,2.14,1.43,6.88,7.88,11.0,5.5,14.25,15.5,1.62,3.12,3.0,2.75,0.59,0.24,0.2,0.55,0.49,,,0.55,0.48,0.52,0.52,,,,,,,,,,,,Russia Premier League,2025-2026,0.43,2.14,4.38,4.25,4.88,5.75,11.25,12.88,86.25,89.75,46.75,39.25,43.12,56.88,0.0,2.0,6.75,8.5,4.38,4.25,2.12,2.0,6.88,8.5,6.75,8.88,17.38,13.62,2.38,1.75,2.5,1.75,0.24,0.27,0.53,0.54,0.5,0.53,0.5,0.53,0.51,0.53,0.5,,,,,,,,,,,
Krylya Sovetov,1.38,1.5,3.62,5.62,3.38,6.62,9.5,14.25,82.38,96.38,39.12,49.38,46.25,53.75,0.0,2.0,5.75,8.75,3.75,5.12,2.0,1.25,9.12,7.38,6.38,11.62,14.12,13.75,3.62,1.38,1.88,1.5,0.32,0.27,0.44,0.53,0.51,0.48,0.55,0.5,0.54,0.52,0.51,,,,,,,,,,,,Russia Premier League,2025-2026,1.75,1.12,6.12,2.88,5.75,4.0,16.5,8.25,110.62,77.38,56.62,30.5,51.62,48.38,1.0,1.0,9.75,4.75,6.62,3.38,2.0,2.0,6.5,7.88,11.5,6.88,13.38,15.0,1.5,4.12,2.5,2.88,0.55,0.26,0.22,0.52,0.51,0.53,0.5,0.54,0.5,0.51,0.52,,,,,,,,,,,
