team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
AEK Athens,1.64,0.45,5.55,1.91,6.55,3.36,16.82,7.55,97.91,82.27,62.55,31.55,58.18,41.82,0.8,0.2,12.45,4.09,4.36,3.45,2.11,0.78,5.18,8.55,10.64,5.45,15.36,13.91,2.27,3.73,2.55,2.36,0.72,0.2,0.13,0.45,0.59,,,0.54,0.5,0.51,0.52,0.72,0.2,0.14,0.6,0.47,,,0.54,0.52,0.53,0.52,Greece Super Liga,2025-2026,0.91,2.0,4.0,5.58,4.75,5.0,9.83,14.17,73.25,92.92,36.33,53.67,40.58,59.42,0.83,0.67,5.75,9.75,4.0,4.33,1.17,2.25,8.25,6.92,7.08,9.67,13.58,15.83,2.5,2.08,3.33,2.92,0.21,0.24,0.59,0.48,0.56,0.56,0.48,0.53,0.51,0.51,0.53,0.22,0.24,0.59,0.58,0.5,,,0.53,0.53,0.53,0.53
Aris,1.29,1.14,5.27,4.0,5.0,4.73,13.55,10.55,93.27,83.91,46.0,35.91,50.55,49.45,1.0,0.5,7.27,6.09,6.27,4.36,2.55,1.45,7.45,7.27,9.09,7.55,14.09,15.27,2.45,3.18,2.55,4.0,0.46,0.27,0.31,0.48,0.56,0.53,0.5,0.53,0.51,0.5,0.54,0.47,0.27,0.32,0.58,0.49,0.54,0.52,0.54,0.52,0.52,0.54,Greece Super Liga,2025-2026,1.33,0.83,4.46,4.54,4.69,5.08,11.85,10.69,89.62,89.46,42.46,37.15,49.08,50.92,0.67,0.33,8.08,6.0,3.85,4.62,1.25,2.33,7.85,6.54,7.69,7.77,13.92,16.23,2.38,2.85,2.15,2.08,0.4,0.29,0.35,0.46,0.58,0.53,0.51,0.51,0.54,0.51,0.53,0.4,0.29,0.37,0.6,0.47,0.55,0.51,0.53,0.52,0.52,0.54
Asteras Tripolis,1.27,1.36,5.27,4.45,4.18,4.45,9.18,12.82,82.45,86.27,41.55,42.45,46.64,53.36,0.25,1.0,5.73,8.36,3.45,4.45,1.91,2.55,8.36,8.0,7.64,9.0,12.27,15.82,3.0,2.09,3.18,3.18,0.38,0.28,0.39,0.49,0.55,0.53,0.51,0.52,0.52,0.51,0.53,0.39,0.28,0.39,0.57,0.5,0.55,0.51,0.53,0.53,0.52,0.54,Greece Super Liga,2025-2026,2.0,0.55,5.54,4.0,6.54,3.69,15.31,9.23,94.85,76.08,46.46,31.15,56.77,43.23,0.67,0.33,9.38,4.85,5.77,4.31,2.0,1.92,6.62,8.23,10.31,6.77,15.77,14.92,2.62,2.77,2.15,3.0,0.56,0.27,0.21,0.48,0.57,0.56,0.48,0.52,0.52,0.52,0.52,0.57,0.27,0.22,0.58,0.49,0.52,0.54,0.52,0.54,0.55,0.51
Atromitos,1.0,1.5,3.82,4.64,4.91,3.18,12.18,9.27,94.0,87.0,46.27,42.55,55.27,44.73,1.0,0.0,7.27,6.0,5.0,3.27,1.55,2.27,5.27,6.64,7.27,7.73,14.82,15.73,2.73,2.18,2.45,2.55,0.36,0.29,0.39,0.49,0.55,0.55,0.49,0.51,0.52,0.51,0.54,0.37,0.28,0.4,0.57,0.5,0.56,0.5,0.52,0.54,0.53,0.52,Greece Super Liga,2025-2026,1.22,1.22,3.82,3.91,6.73,3.91,14.73,8.45,101.73,75.27,50.45,32.64,52.45,47.55,1.33,0.0,9.55,5.0,5.18,3.45,1.73,1.36,4.64,10.0,9.09,5.64,14.27,16.82,1.73,2.91,1.64,3.0,0.54,0.27,0.24,0.48,0.57,0.54,0.5,0.51,0.53,0.54,0.5,0.54,0.27,0.25,0.58,0.49,0.52,0.53,0.53,0.53,0.54,0.52
Kifisia,1.4,1.8,3.55,4.27,6.64,4.18,14.45,10.55,86.27,86.45,42.82,43.82,45.55,54.45,0.2,1.4,8.09,6.64,6.27,3.73,0.64,2.64,7.0,9.73,10.45,8.45,15.91,16.55,2.55,3.36,2.82,2.82,0.34,0.26,0.44,0.5,0.55,0.56,0.48,0.52,0.52,0.51,0.53,0.34,0.27,0.45,0.57,0.51,0.53,0.53,0.52,0.54,0.52,0.53,Greece Super Liga,2025-2026,1.82,1.27,6.27,4.91,5.82,4.91,15.36,13.09,80.0,79.09,47.91,39.82,51.73,48.27,1.0,0.33,9.82,7.09,5.55,6.09,3.2,1.5,7.27,8.45,9.64,8.91,13.18,18.36,3.82,3.73,2.73,4.73,0.5,0.28,0.26,0.5,0.55,0.52,0.52,0.52,0.52,0.5,0.54,0.51,0.28,0.27,0.56,0.51,0.52,0.54,0.51,0.54,0.51,0.55
Larissa,1.0,1.82,4.25,4.67,5.75,4.5,12.42,12.42,87.25,81.08,35.25,34.58,46.92,53.08,0.75,0.5,7.0,7.25,5.42,5.17,2.25,2.0,6.75,6.92,9.25,8.33,16.33,15.58,3.0,3.17,3.75,3.08,0.33,0.29,0.42,0.47,0.57,0.53,0.5,0.49,0.54,0.51,0.52,0.34,0.29,0.43,0.59,0.48,0.53,0.52,0.52,0.54,0.53,0.53,Greece Super Liga,2025-2026,1.36,0.91,5.27,2.64,6.45,4.91,15.27,10.64,105.91,80.91,54.91,30.91,60.73,39.27,0.71,0.43,9.91,5.73,5.36,4.91,1.9,2.1,6.64,9.64,9.36,7.82,13.36,16.0,2.64,3.36,2.27,3.09,0.6,0.25,0.19,0.48,0.57,0.55,0.49,0.51,0.53,0.5,0.54,0.6,0.26,0.2,0.59,0.48,0.55,0.5,0.53,0.53,0.54,0.52
Levadiakos,2.82,1.36,4.42,4.5,4.33,4.92,13.17,11.67,95.25,82.5,41.67,44.92,58.67,41.33,1.2,0.4,8.5,6.92,4.67,4.75,2.18,1.09,6.83,6.83,9.92,8.17,12.08,17.33,2.33,2.83,1.5,2.83,0.47,0.27,0.31,0.5,0.54,0.56,0.48,0.53,0.51,0.51,0.52,0.48,0.27,0.31,0.57,0.51,0.54,0.52,0.53,0.53,0.53,0.53,Greece Super Liga,2025-2026,1.4,1.9,4.3,5.7,5.5,3.7,14.1,10.5,94.3,92.8,46.7,42.3,44.2,55.8,0.0,1.0,8.3,6.3,5.8,4.2,0.5,2.0,6.6,6.9,8.4,7.4,15.6,12.4,2.2,2.3,2.9,2.4,0.37,0.28,0.39,0.51,0.53,0.55,0.48,0.53,0.51,0.5,0.55,0.38,0.27,0.41,0.56,0.51,0.56,0.5,0.53,0.53,0.53,0.53
OFI,1.55,1.36,2.91,5.0,3.82,5.55,9.45,14.09,75.18,102.82,26.27,52.82,44.0,56.0,0.6,0.6,5.36,7.82,4.09,6.27,1.73,3.0,10.45,6.27,6.27,10.09,15.09,15.27,3.73,1.64,2.09,2.55,0.34,0.28,0.43,0.53,0.51,,,0.54,0.5,0.5,0.54,0.35,0.28,0.44,0.53,0.54,,,0.52,0.54,0.52,0.54,Greece Super Liga,2025-2026,2.33,1.0,6.17,2.58,6.67,2.33,17.75,7.75,102.92,66.5,56.67,26.92,57.42,42.58,1.0,0.33,10.92,4.92,6.83,2.83,3.0,1.42,4.58,9.42,12.25,5.83,15.42,12.0,2.08,4.25,2.08,3.0,0.58,0.25,0.21,0.51,0.54,0.56,0.48,0.52,0.52,0.5,0.53,0.59,0.25,0.23,0.55,0.52,0.56,0.5,0.54,0.52,0.51,0.55
Olympiacos F.C.,2.2,0.5,8.91,2.55,9.18,2.0,21.09,5.45,133.91,63.91,73.82,22.0,63.91,36.09,0.8,0.2,14.0,3.45,7.09,2.0,1.91,2.09,4.27,10.91,12.27,3.55,10.82,12.82,1.36,3.73,0.9,2.8,0.79,0.17,0.09,0.43,0.63,0.56,0.47,0.52,0.52,0.52,0.52,0.78,0.18,0.1,0.64,0.43,,,0.52,0.54,0.54,0.52,Greece Super Liga,2025-2026,0.55,1.91,1.69,5.54,2.54,5.46,6.23,15.46,66.69,127.69,24.46,65.08,39.77,60.23,0.2,1.0,3.69,10.54,2.62,4.85,2.15,1.85,10.31,4.31,4.46,11.08,11.69,14.69,4.15,1.92,2.92,2.17,0.15,0.22,0.68,0.44,0.6,0.56,0.48,0.53,0.5,0.51,0.52,0.16,0.23,0.66,0.6,0.47,0.56,0.5,0.55,0.51,0.53,0.52
PAOK,2.4,0.3,6.75,1.92,6.33,2.67,16.42,5.25,107.67,66.92,61.42,23.75,62.75,37.25,1.0,0.0,11.17,3.33,5.25,1.92,2.25,2.25,4.33,10.25,11.33,4.0,11.0,13.25,1.25,4.08,1.64,3.36,0.71,0.2,0.14,0.45,0.59,0.56,0.48,0.52,0.52,0.5,0.54,0.72,0.2,0.14,0.61,0.46,0.56,0.5,0.53,0.52,0.55,0.5,Greece Super Liga,2025-2026,1.22,2.56,3.82,4.45,3.36,4.73,8.91,12.36,80.09,102.55,34.64,52.45,41.09,58.91,0.25,1.25,5.36,7.91,3.55,4.45,2.36,2.36,7.45,5.55,6.82,8.73,13.0,13.27,2.18,2.09,2.7,1.9,0.23,0.24,0.58,0.51,0.54,0.55,0.48,0.53,0.51,0.52,0.52,0.23,0.24,0.58,0.56,0.52,0.53,0.53,0.53,0.53,0.52,0.53
