team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
América,1.76,0.94,6.35,3.35,6.53,3.12,16.94,8.41,99.71,83.47,55.47,35.29,57.0,43.0,1.0,0.17,9.24,4.65,7.47,3.82,1.67,1.4,6.53,11.47,12.59,5.41,11.29,11.53,1.94,4.71,1.82,2.53,0.63,0.23,0.18,0.52,0.53,,,0.52,0.51,0.51,0.52,0.63,0.23,0.19,0.53,0.54,,,0.51,0.55,0.53,0.53,Mexico Liga MX,2025-2026,1.36,1.29,3.5,5.0,4.5,4.75,11.06,11.69,84.38,101.81,34.88,47.44,44.31,55.69,0.67,0.67,6.5,6.75,4.5,5.0,1.06,1.31,7.94,7.5,6.5,7.81,13.06,9.38,2.5,2.0,2.38,2.06,0.31,0.28,0.45,0.58,0.46,0.54,0.49,0.51,0.52,0.52,0.52,0.32,0.28,0.46,0.5,0.58,0.56,0.5,0.53,0.53,0.55,0.51
Atlas,1.83,1.67,3.67,5.87,4.67,5.87,11.27,14.93,80.67,93.6,34.87,46.33,44.13,55.87,0.56,0.78,6.53,8.27,4.47,6.47,1.87,1.0,9.73,7.27,7.93,9.47,13.47,12.53,3.13,2.4,2.6,2.87,0.35,0.27,0.42,0.57,0.47,,,0.53,0.5,0.52,0.52,0.36,0.28,0.42,0.49,0.58,,,0.54,0.52,0.53,0.53,Mexico Liga MX,2025-2026,2.0,0.86,5.86,3.29,7.14,4.79,16.29,9.71,94.36,65.5,38.21,21.43,56.36,43.64,0.8,0.6,10.0,5.07,6.14,4.64,1.38,1.69,7.57,11.0,11.5,7.36,11.71,10.14,2.07,3.71,2.92,2.46,0.55,0.25,0.24,0.56,0.48,,,0.52,0.51,0.51,0.52,0.55,0.26,0.24,0.51,0.56,,,0.54,0.52,0.54,0.52
Atlético San Luis,1.4,1.67,4.53,3.4,4.4,5.47,10.47,12.6,78.57,90.5,30.71,35.29,48.13,51.87,0.5,0.5,7.27,7.27,3.27,5.27,1.07,2.71,8.93,7.67,6.0,9.33,10.73,12.13,3.4,1.6,2.07,2.29,0.37,0.26,0.4,0.61,0.43,,,,,0.53,0.5,0.38,0.27,0.4,0.46,0.61,,,,,0.52,0.53,Mexico Liga MX,2025-2026,1.67,1.53,4.13,4.47,6.4,4.87,13.93,12.0,91.2,76.8,42.47,36.8,53.8,46.2,0.43,0.71,7.73,8.0,6.33,4.0,2.43,0.57,8.6,9.67,9.67,7.47,12.2,10.93,2.67,3.33,2.67,2.0,0.54,0.25,0.25,0.58,0.46,,,,,0.53,0.51,0.55,0.26,0.26,0.49,0.59,,,,,0.53,0.52
Cruz Azul,2.06,1.12,6.88,3.18,8.71,3.65,20.24,8.53,107.71,68.24,54.47,25.41,59.53,40.47,0.5,0.5,10.94,5.12,9.29,3.53,2.69,1.5,7.12,13.59,14.12,5.47,11.94,9.88,1.47,4.88,2.24,2.18,0.61,0.23,0.2,0.56,0.48,,,0.54,0.49,0.52,0.52,0.61,0.24,0.21,0.5,0.57,,,0.53,0.53,0.55,0.51,Mexico Liga MX,2025-2026,1.24,1.65,4.44,4.44,4.89,6.17,11.44,15.0,85.94,96.39,37.0,41.72,47.72,52.28,0.25,0.88,7.06,7.44,4.33,7.39,1.67,1.89,9.39,8.83,7.44,10.17,11.61,10.33,3.89,2.83,2.17,1.89,0.32,0.27,0.45,0.59,0.45,,,0.52,0.52,0.52,0.51,0.32,0.27,0.46,0.47,0.6,,,0.52,0.54,0.53,0.53
Guadalajara,2.6,1.13,6.29,3.0,7.35,3.76,17.0,10.0,99.53,80.6,47.6,26.4,57.59,42.41,0.67,0.33,10.71,4.71,6.29,5.29,1.69,1.12,7.59,11.24,11.29,6.71,11.47,10.65,2.82,4.18,2.18,2.35,0.58,0.24,0.22,0.56,0.48,,,0.52,0.51,0.52,0.51,0.59,0.24,0.22,0.51,0.56,,,0.54,0.52,0.54,0.52,Mexico Liga MX,2025-2026,1.4,1.6,3.53,5.53,4.47,6.53,10.07,14.53,81.13,97.27,32.13,45.33,45.13,54.87,0.67,0.56,6.33,8.67,3.47,5.53,1.33,2.4,10.07,7.4,6.4,8.67,10.2,11.8,2.6,2.0,2.47,2.07,0.29,0.27,0.47,0.57,0.47,,,0.54,0.49,0.52,0.51,0.3,0.28,0.48,0.5,0.58,,,0.55,0.51,0.53,0.53
Juárez,1.65,1.65,4.59,4.65,6.94,4.88,13.71,11.18,90.65,75.41,40.0,28.71,51.47,48.53,1.0,0.17,8.29,7.0,5.29,4.18,1.53,1.35,7.88,11.53,6.94,5.47,10.59,10.06,2.35,2.82,2.47,2.47,0.41,0.27,0.35,0.56,0.48,0.55,0.48,0.52,0.51,0.52,0.52,0.42,0.28,0.36,0.51,0.56,0.56,0.5,0.53,0.53,0.53,0.53,Mexico Liga MX,2025-2026,1.88,1.29,5.11,4.39,6.67,5.72,15.61,11.28,83.39,78.17,37.83,37.61,54.28,45.72,0.57,0.43,9.67,6.61,5.94,4.83,2.24,1.12,9.44,10.28,10.11,8.44,13.56,12.11,2.44,3.0,2.22,2.39,0.5,0.26,0.27,0.55,0.49,,,0.53,0.5,0.51,0.52,0.51,0.27,0.28,0.51,0.57,,,0.54,0.52,0.53,0.53
León,1.47,1.47,5.4,4.93,6.47,5.8,14.2,14.13,90.14,76.21,39.64,36.07,53.93,46.07,0.62,0.62,8.33,8.07,5.87,5.87,1.57,2.07,8.33,9.67,8.73,9.07,12.2,11.53,3.27,3.2,2.13,2.33,0.41,0.26,0.37,0.6,0.44,,,,,0.54,0.5,0.42,0.27,0.37,0.47,0.6,,,0.56,0.5,0.54,0.52,Mexico Liga MX,2025-2026,2.2,0.6,5.75,4.44,7.0,4.94,17.38,12.25,88.69,81.62,44.44,34.62,49.38,50.62,1.25,0.0,10.25,6.5,7.19,5.75,1.2,2.0,7.44,9.69,11.56,8.38,12.0,11.88,3.56,4.12,2.06,2.19,0.51,0.25,0.27,0.6,0.44,,,,,0.53,0.5,0.51,0.26,0.28,0.47,0.6,,,,,0.54,0.52
Mazatlán,1.6,1.93,4.27,5.87,4.67,6.67,10.47,16.6,84.64,97.29,38.57,55.43,42.2,57.8,0.71,1.0,6.47,9.33,4.07,7.33,1.93,2.07,9.0,6.6,6.27,9.27,10.67,10.4,3.6,2.07,2.67,2.33,0.3,0.27,0.46,0.59,0.45,0.55,0.48,0.51,0.53,0.53,0.5,0.3,0.28,0.48,0.49,0.59,0.55,0.51,0.52,0.54,0.53,0.52,Mexico Liga MX,2025-2026,2.0,0.79,6.07,3.6,7.53,4.13,17.47,9.2,91.67,75.0,46.13,33.2,57.53,42.47,1.0,0.0,10.8,5.67,6.53,3.4,1.5,1.71,8.2,11.53,10.93,6.27,11.8,11.67,2.53,4.13,1.87,2.4,0.67,0.22,0.16,0.54,0.5,,,0.55,0.48,0.52,0.51,0.68,0.22,0.16,0.52,0.55,,,0.56,0.5,0.54,0.52
Monterrey,1.78,1.22,5.06,4.94,6.56,4.17,15.0,11.28,97.06,76.94,46.17,39.0,58.72,41.28,0.78,0.33,9.61,6.44,5.33,4.78,1.17,1.72,6.44,9.44,10.94,7.06,10.83,12.0,2.72,3.67,1.67,3.06,0.54,0.25,0.25,0.58,0.46,,,,,0.53,0.5,0.54,0.26,0.26,0.48,0.6,,,0.56,0.5,0.54,0.51,Mexico Liga MX,2025-2026,1.88,1.69,4.82,3.65,6.41,4.53,13.76,12.24,67.87,71.73,37.8,32.0,46.59,53.41,0.4,1.0,8.59,6.65,5.18,5.59,2.59,1.47,7.59,8.47,8.0,6.82,11.82,10.71,2.94,3.06,2.25,2.12,0.43,0.26,0.35,0.61,0.43,,,,,0.53,0.5,0.45,0.26,0.35,0.47,0.6,,,,,0.54,0.52
Necaxa,1.4,0.93,5.27,4.73,7.87,5.6,16.27,12.13,89.14,83.14,44.93,37.79,50.87,49.13,0.33,0.67,8.87,6.27,7.47,5.8,0.93,1.36,8.6,10.27,10.67,8.27,12.47,10.27,2.33,3.27,2.14,2.21,0.46,0.27,0.31,0.61,0.43,,,0.56,0.5,0.53,0.51,0.46,0.27,0.33,0.46,0.61,,,0.56,0.5,0.53,0.53,Mexico Liga MX,2025-2026,2.4,1.4,5.62,4.81,6.62,4.88,15.81,12.62,85.75,85.25,45.5,39.5,51.19,48.81,0.83,0.17,10.0,7.12,5.81,5.44,1.07,1.36,8.81,10.12,9.5,6.62,11.0,12.19,3.0,3.25,2.12,2.75,0.49,0.26,0.29,0.61,0.44,,,,,0.53,0.51,0.5,0.26,0.3,0.47,0.6,,,,,0.53,0.53
