team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Albion,2.43,1.29,5.14,5.14,4.0,5.29,10.43,11.57,99.0,103.86,47.29,52.0,54.43,45.57,1.33,0.0,5.75,5.0,5.5,7.25,1.5,1.5,8.5,8.75,,,10.75,8.75,2.75,2.75,3.29,2.14,0.36,0.32,0.37,0.45,0.6,0.53,0.51,0.51,0.54,,,0.39,0.32,0.4,0.61,0.47,0.52,0.53,0.52,0.53,,,Uruguay Primera Division,2026,0.67,1.33,5.5,4.5,5.17,5.5,9.67,9.83,86.5,77.83,49.33,40.83,49.67,50.33,1.0,0.0,4.67,4.67,9.33,5.33,0.67,1.67,8.33,12.0,,,14.0,12.33,3.33,4.0,3.0,2.0,0.41,0.32,0.32,0.47,0.58,0.54,0.52,0.5,0.55,,,0.44,0.33,0.34,0.59,0.49,0.54,0.52,0.52,0.54,,
Atlético Progreso,1.0,1.86,4.71,3.57,5.0,5.29,10.0,11.29,101.0,102.57,63.43,66.14,49.57,50.43,0.67,0.33,5.2,6.2,4.8,5.4,1.8,1.0,9.0,8.6,,,13.6,10.0,3.4,2.4,2.86,2.14,0.33,0.3,0.41,0.49,0.57,0.55,0.5,0.52,0.53,0.51,0.54,0.34,0.32,0.44,0.59,0.49,0.53,0.53,0.53,0.53,0.51,0.54,Uruguay Primera Division,2026,1.17,0.5,4.0,4.0,5.83,3.17,12.33,7.67,100.0,96.33,53.17,44.67,55.67,44.33,2.0,0.0,7.0,5.5,4.5,2.5,1.5,1.5,8.5,9.5,,,14.0,14.5,2.5,4.5,3.83,3.5,0.48,0.31,0.26,0.48,0.57,0.53,0.52,0.5,0.55,0.5,0.54,0.51,0.32,0.28,0.58,0.5,0.5,0.56,0.51,0.55,0.54,0.51
Boston River,1.14,1.14,3.0,5.43,3.43,4.71,10.0,13.0,90.57,94.29,38.14,51.71,45.71,54.29,1.0,0.0,6.0,8.25,4.5,5.75,2.5,1.25,9.0,7.0,,,10.5,14.5,6.75,3.25,2.71,2.71,0.3,0.31,0.44,0.48,0.57,0.55,0.5,0.51,0.54,0.49,0.55,0.31,0.33,0.47,0.58,0.5,0.56,0.5,0.52,0.54,0.5,0.56,Uruguay Primera Division,2026,1.83,0.83,5.83,2.17,5.33,3.17,11.5,6.67,110.17,96.5,70.83,55.17,52.33,47.67,,,6.0,4.33,6.67,4.67,2.67,1.67,6.67,12.0,,,15.33,9.0,2.33,2.33,2.5,2.33,0.49,0.3,0.26,0.5,0.56,0.55,0.5,0.54,0.52,0.5,0.55,0.49,0.32,0.3,0.58,0.5,0.55,0.5,0.54,0.52,,
Central Español,2.0,1.33,3.83,3.5,4.17,6.67,9.17,12.17,82.33,103.17,44.33,58.17,42.5,57.5,1.0,0.67,6.0,6.0,4.5,9.0,3.5,1.0,12.0,6.0,,,8.0,12.0,2.5,2.5,3.17,3.67,0.31,0.3,0.44,0.45,0.6,0.54,0.51,0.5,0.55,0.51,0.53,0.33,0.32,0.45,0.59,0.49,0.53,0.52,0.5,0.56,0.53,0.53,Uruguay Primera Division,2026,2.17,1.67,5.14,3.57,5.57,5.14,15.29,11.29,111.71,89.14,65.57,54.29,62.86,37.14,0.5,0.5,9.67,5.0,7.33,6.67,2.2,1.8,9.5,11.17,,,11.5,11.67,3.5,4.5,2.43,2.29,0.52,0.3,0.24,0.48,0.57,0.54,0.52,0.5,0.55,0.53,0.52,0.54,0.31,0.26,0.59,0.49,0.52,0.53,0.51,0.55,0.53,0.53
Cerro,0.5,0.67,2.83,6.17,3.0,3.83,8.0,8.5,82.67,93.0,46.83,50.5,43.33,56.67,,,5.0,7.5,5.5,6.5,0.0,1.5,10.0,8.5,,,15.0,15.0,5.0,4.0,3.67,2.67,0.3,0.32,0.43,0.45,0.61,0.52,0.52,0.48,0.56,,,0.31,0.34,0.45,0.61,0.46,0.54,0.52,0.5,0.56,,,Uruguay Primera Division,2026,2.57,0.43,5.43,3.57,5.57,6.43,12.71,10.14,86.29,90.43,49.29,47.14,53.43,46.57,1.5,0.25,7.67,4.0,7.67,6.67,1.67,1.33,7.33,9.67,,,13.33,15.0,1.0,4.33,2.57,4.14,0.55,0.29,0.21,0.41,0.64,0.52,0.52,0.51,0.53,0.54,0.5,0.58,0.31,0.23,0.63,0.45,0.52,0.54,0.52,0.53,0.56,0.5
Cerro Largo,1.29,1.29,2.71,3.86,4.29,7.14,8.29,12.29,104.14,109.14,55.43,64.43,46.57,53.43,0.67,0.33,3.67,6.0,5.67,6.0,2.67,1.0,9.67,9.0,,,13.33,12.0,2.67,1.33,2.71,3.14,0.32,0.33,0.4,0.51,0.54,0.55,0.49,0.49,0.56,,,0.34,0.34,0.43,0.58,0.5,0.53,0.53,0.52,0.54,,,Uruguay Primera Division,2026,1.29,1.0,5.71,4.29,4.86,3.57,12.14,10.14,103.57,102.43,61.29,50.86,53.71,46.29,2.0,0.0,5.8,5.2,7.6,6.2,2.6,1.4,8.8,9.0,,,11.2,12.2,2.8,3.4,2.14,3.43,0.46,0.31,0.28,0.48,0.58,0.54,0.51,0.5,0.55,0.5,0.55,0.48,0.32,0.31,0.59,0.49,0.52,0.54,0.54,0.52,0.51,0.54
Danubio,1.6,0.8,4.17,3.5,3.83,5.83,11.0,9.5,103.0,98.83,60.0,57.67,49.83,50.17,0.0,1.0,6.33,4.67,8.0,5.33,1.67,1.33,10.67,8.0,,,11.67,12.67,3.0,4.67,2.67,3.0,0.4,0.33,0.32,0.5,0.55,0.55,0.5,0.49,0.56,,,0.44,0.34,0.34,0.59,0.49,0.54,0.52,0.52,0.54,,,Uruguay Primera Division,2026,1.57,1.0,4.0,2.71,5.71,3.14,10.57,6.29,88.71,91.0,50.57,44.57,49.14,50.86,0.5,0.5,5.0,1.5,8.5,5.0,3.5,1.0,7.0,9.5,,,12.0,13.0,1.0,4.5,2.86,1.86,0.41,0.32,0.32,0.44,0.61,0.53,0.51,0.49,0.56,0.49,0.56,0.43,0.33,0.34,0.6,0.49,0.53,0.52,0.54,0.52,0.5,0.56
Defensor Sporting,1.4,0.8,5.5,4.0,6.0,5.5,13.17,10.83,104.83,96.0,70.0,56.33,58.0,42.0,,,8.33,6.67,8.33,5.67,1.33,1.33,8.33,12.0,,,7.0,14.67,4.0,3.67,2.83,3.5,0.44,0.31,0.3,0.49,0.57,0.55,0.5,0.51,0.54,,,0.46,0.33,0.32,0.58,0.51,0.53,0.53,0.52,0.53,,,Uruguay Primera Division,2026,1.0,0.83,5.71,5.14,4.43,4.29,11.43,8.57,102.43,99.0,71.43,55.0,50.29,49.71,0.0,1.0,7.0,6.67,10.67,6.33,1.33,1.67,10.0,11.67,,,10.67,10.33,1.67,6.67,2.86,2.71,0.42,0.31,0.31,0.5,0.55,0.55,0.5,0.5,0.55,,,0.45,0.33,0.33,0.58,0.5,0.53,0.52,0.53,0.53,,
Deportivo Maldonado,1.86,0.86,3.57,4.14,5.43,5.14,11.86,9.0,96.29,90.0,52.14,45.71,53.14,46.86,1.33,0.33,5.0,5.67,7.33,4.33,3.0,0.5,11.33,11.33,,,8.67,15.67,2.0,3.0,2.14,3.43,0.48,0.3,0.27,0.5,0.55,0.55,0.5,0.51,0.53,0.5,0.56,0.51,0.31,0.29,0.56,0.53,0.5,0.56,0.52,0.54,0.56,0.5,Uruguay Primera Division,2026,1.33,1.67,4.14,6.14,4.0,4.57,9.86,10.43,92.14,98.57,50.57,55.57,47.29,52.71,0.5,1.0,5.67,7.33,5.67,7.0,1.67,2.33,9.0,9.0,,,11.0,13.33,4.0,3.0,3.43,3.86,0.35,0.32,0.37,0.5,0.56,0.55,0.5,0.5,0.55,,,0.37,0.33,0.4,0.58,0.51,0.53,0.53,0.51,0.55,,
Juventud,1.14,1.0,4.43,3.57,6.0,3.71,13.43,9.43,104.57,94.29,65.86,59.57,53.43,46.57,1.0,0.0,5.25,4.25,8.25,5.75,2.25,2.75,8.25,11.75,,,14.25,12.0,2.0,4.5,3.0,3.43,0.37,0.3,0.38,0.47,0.59,0.53,0.52,0.51,0.54,0.51,0.54,0.39,0.31,0.4,0.58,0.51,0.51,0.55,0.52,0.53,0.56,0.5,Uruguay Primera Division,2026,2.0,1.29,4.43,4.0,4.29,4.29,13.57,9.86,104.43,105.43,61.29,51.14,49.57,50.43,0.0,1.0,8.0,6.0,8.75,6.75,3.75,0.5,9.0,9.75,,,11.0,13.0,4.0,4.0,3.71,4.43,0.53,0.28,0.24,0.46,0.59,0.54,0.51,0.53,0.52,0.52,0.53,0.56,0.3,0.25,0.6,0.48,0.52,0.54,0.53,0.53,0.53,0.53
