team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Aldosivi,1.0,1.0,4.5,3.25,5.5,4.75,11.0,10.75,90.25,95.0,61.5,56.5,45.5,54.5,,,6.25,6.5,4.75,4.25,1.75,0.5,6.5,8.5,7.5,7.25,17.75,8.0,3.0,2.75,3.5,1.0,0.34,0.35,0.34,0.38,0.66,0.49,0.55,,,,,0.34,0.36,0.35,0.66,0.41,0.55,0.51,,,,,Argentina Liga Profissional de Futebol,2026,1.75,0.5,6.0,4.0,7.25,6.25,14.75,11.0,80.5,87.25,57.25,59.25,48.0,52.0,1.0,0.5,8.25,7.0,6.5,4.0,0.25,1.0,9.25,11.0,11.0,5.5,11.0,14.25,0.0,3.5,2.5,1.5,0.49,0.33,0.22,0.41,0.63,0.49,0.55,0.5,0.55,,,0.5,0.33,0.22,0.64,0.42,0.51,0.55,,,,
Argentinos Juniors,1.0,0.33,5.4,2.0,7.8,3.4,17.2,9.4,107.4,82.4,80.0,49.0,61.8,38.2,,,8.4,4.4,8.8,5.0,4.0,2.0,5.2,10.6,12.6,6.0,7.2,12.6,3.0,5.6,1.75,3.25,0.59,0.28,0.17,0.4,0.64,0.52,0.51,0.47,0.56,,,0.59,0.29,0.17,0.66,0.42,0.53,0.52,0.57,0.49,,,Argentina Liga Profissional de Futebol,2026,1.5,1.0,2.0,5.0,5.0,4.67,9.0,11.0,64.33,86.67,52.67,57.33,36.67,63.33,0.0,1.0,5.0,8.67,4.0,2.33,2.67,2.67,6.33,8.67,6.67,8.0,15.0,13.33,3.67,1.0,2.33,2.67,0.28,0.34,0.41,0.41,0.63,0.48,0.55,,,,,0.29,0.34,0.42,0.64,0.44,0.5,0.56,,,,
Atlético Tucumán,1.5,1.25,7.2,4.0,8.2,2.8,16.4,7.0,75.8,69.4,66.8,50.2,53.4,46.6,1.0,0.33,10.2,4.6,6.2,2.4,3.4,1.8,7.4,11.0,11.2,4.8,12.2,13.6,0.6,4.0,2.0,3.2,0.42,0.33,0.28,0.44,0.59,0.51,0.52,0.49,0.55,,,0.44,0.33,0.28,0.6,0.47,0.5,0.56,0.53,0.53,,,Argentina Liga Profissional de Futebol,2026,2.0,1.0,1.67,3.33,4.67,5.0,10.33,10.67,86.67,94.33,51.33,68.33,45.33,54.67,0.0,1.0,6.0,5.33,4.33,5.33,1.33,1.33,8.33,7.67,8.33,10.0,13.0,12.67,3.0,2.67,2.0,5.0,0.42,0.33,0.29,0.43,0.61,0.5,0.54,,,,,0.43,0.34,0.29,0.63,0.45,0.53,0.52,,,,
Banfield,1.2,1.2,5.8,2.8,6.2,5.6,14.2,12.8,91.4,92.6,56.6,49.8,45.2,54.8,0.0,1.0,8.4,7.6,5.8,5.2,2.4,1.0,6.8,7.2,7.8,7.6,8.8,11.0,2.8,2.6,3.2,3.2,0.4,0.33,0.3,0.44,0.6,0.51,0.52,0.47,0.56,,,0.41,0.34,0.31,0.63,0.45,0.53,0.52,0.49,0.57,,,Argentina Liga Profissional de Futebol,2026,1.33,0.33,8.67,1.0,5.33,3.33,20.0,7.33,107.67,78.0,70.33,45.33,65.33,34.67,1.0,0.0,13.0,3.67,7.0,3.67,0.33,1.33,6.0,9.67,11.33,5.33,12.67,11.67,1.67,6.67,3.67,1.67,0.47,0.3,0.25,0.43,0.61,0.55,0.48,0.49,0.54,,,0.48,0.31,0.26,0.61,0.46,0.5,0.56,0.5,0.56,,
Barracas Central,1.25,0.75,2.25,4.5,3.75,7.25,11.0,13.25,90.25,99.0,48.0,73.5,44.0,56.0,1.0,0.0,4.25,5.75,6.75,7.5,1.25,3.5,11.0,6.75,7.25,10.5,12.0,12.5,3.0,2.25,2.75,4.0,0.3,0.34,0.4,0.4,0.63,0.52,0.52,,,,,0.3,0.34,0.41,0.66,0.42,0.55,0.51,,,,,Argentina Liga Profissional de Futebol,2026,1.33,1.0,4.75,0.75,7.5,2.75,16.75,8.25,100.75,74.25,80.75,48.5,67.75,32.25,,,9.25,2.75,7.5,5.5,3.25,0.5,3.75,10.75,13.25,6.0,10.75,9.75,2.75,6.25,3.0,2.25,0.62,0.28,0.14,0.37,0.67,0.52,0.52,0.47,0.56,,,0.62,0.29,0.14,0.7,0.37,0.52,0.54,0.53,0.53,,
Belgrano,1.0,0.5,6.33,1.67,5.33,2.0,12.0,7.67,99.67,77.67,58.67,37.33,57.0,43.0,,,8.33,2.67,3.67,5.0,1.0,1.33,5.33,8.33,6.0,6.0,13.33,11.0,2.0,2.33,3.0,1.33,0.49,0.32,0.22,0.43,0.61,0.5,0.53,0.48,0.55,,,0.5,0.33,0.23,0.62,0.45,0.53,0.52,0.5,0.56,,,Argentina Liga Profissional de Futebol,2026,1.0,1.25,5.6,2.8,8.8,4.8,17.4,10.6,104.2,88.2,72.0,54.4,52.4,47.6,0.5,0.5,9.2,4.8,8.2,5.8,2.6,1.2,7.8,10.6,12.6,7.8,7.8,9.4,2.8,4.6,1.75,1.75,0.42,0.33,0.28,0.41,0.63,0.49,0.54,0.48,0.55,,,0.44,0.34,0.29,0.64,0.44,0.52,0.54,0.56,0.5,,
Boca Juniors,1.33,0.33,4.0,1.5,6.0,4.75,12.0,7.5,97.75,73.25,46.75,34.25,68.0,32.0,1.0,0.0,6.75,3.0,5.25,4.5,1.25,1.0,9.75,9.5,10.25,4.5,9.25,16.75,1.0,2.75,2.0,3.0,0.62,0.28,0.14,0.36,0.68,0.5,0.54,0.48,0.55,,,0.62,0.29,0.14,0.68,0.38,0.55,0.51,0.55,0.51,,,Argentina Liga Profissional de Futebol,2026,1.25,1.5,5.0,4.75,6.25,4.5,12.5,11.5,86.25,86.75,54.25,51.0,43.0,57.0,,,8.25,6.25,4.25,5.25,1.25,1.5,7.0,8.5,8.75,7.25,9.25,7.5,2.5,3.0,1.75,2.0,0.32,0.36,0.36,0.43,0.61,0.47,0.56,,,,,0.33,0.35,0.37,0.63,0.45,0.56,0.5,,,,
Central Cordoba SdE,0.67,0.33,6.33,2.33,4.0,3.67,9.67,12.67,104.67,94.33,63.0,61.67,56.67,43.33,,,7.0,8.0,2.67,4.67,1.0,1.33,6.33,5.67,6.33,6.67,9.33,13.0,3.0,2.33,0.33,2.33,0.32,0.37,0.34,0.38,0.65,0.48,0.56,,,,,0.35,0.36,0.36,0.67,0.4,0.53,0.52,,,,,Argentina Liga Profissional de Futebol,2026,1.33,0.33,5.0,3.25,6.25,3.0,13.5,6.75,86.75,84.25,68.75,53.75,54.5,45.5,0.5,0.5,9.25,3.5,4.25,3.25,1.75,1.25,5.75,10.0,7.5,5.0,16.0,14.0,2.75,2.75,2.75,3.75,0.51,0.32,0.2,0.41,0.62,0.5,0.53,0.49,0.54,,,0.53,0.32,0.21,0.63,0.44,0.55,0.51,0.5,0.56,,
Defensa y Justicia,1.0,1.0,4.25,2.0,4.5,5.5,11.0,9.75,79.5,78.0,51.75,57.5,49.75,50.25,0.5,0.5,6.0,6.5,5.0,3.25,1.5,1.0,9.25,8.5,8.25,8.0,10.0,8.75,2.0,4.25,2.0,2.0,0.38,0.34,0.32,0.43,0.6,0.48,0.55,,,,,0.39,0.33,0.34,0.62,0.45,0.54,0.52,,,,,Argentina Liga Profissional de Futebol,2026,1.33,3.0,6.0,2.5,7.0,3.0,15.25,7.5,87.0,63.25,69.0,38.0,52.5,47.5,1.0,1.0,10.5,5.5,4.75,2.0,1.5,1.25,5.75,10.25,9.5,6.0,14.0,9.25,1.25,4.0,3.5,1.5,0.43,0.35,0.25,0.41,0.63,0.49,0.55,,,,,0.44,0.36,0.26,0.64,0.43,0.55,0.51,,,,
Deportivo Riestra,0.5,1.0,5.25,3.25,4.0,3.25,12.5,7.0,92.5,81.5,69.0,53.75,50.0,50.0,0.0,1.0,9.5,3.5,3.0,3.5,1.5,1.75,8.5,7.0,7.0,6.0,16.75,9.5,2.5,4.0,3.75,2.75,0.43,0.36,0.24,0.36,0.68,0.48,0.57,,,,,0.44,0.37,0.25,0.69,0.38,0.56,0.5,,,,,Argentina Liga Profissional de Futebol,2026,1.0,0.25,4.5,2.75,5.25,3.25,13.25,8.5,106.0,96.0,64.25,60.0,67.0,33.0,1.0,0.0,5.5,5.0,7.75,3.5,0.75,1.75,4.75,9.0,9.25,5.25,8.0,18.25,2.25,2.75,2.0,4.75,0.44,0.35,0.24,0.35,0.69,0.47,0.56,,,,,0.46,0.34,0.25,0.7,0.37,0.57,0.49,,,,
