name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Roasso Kumamoto vs Oita Trinita,2026-03-01 04:00:00,Roasso Kumamoto won after full-time.,Liga de Visão de 100 Anos J2-J3,Roasso Kumamoto,Oita Trinita,3.0,1.0,4.0,2.0,5.0,7.0,3.0,6.0,13.0,8.0,77.0,74.0,44.0,44.0,47.0,53.0,,,8.0,5.0,5.0,3.0,1.0,0.0,12.0,7.0,,,6.0,7.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,2.45,2.9,2.75,1.8,1.9,,,1.77,2.02,,,,,,,,,,,,,,0.41,0.34,0.36,0.56,0.53,,,0.56,0.5,,,2026
Renofa Yamaguchi vs Gainare Tottori,2026-03-01 04:00:00,Gainare Tottori won after penalties.,Liga de Visão de 100 Anos J2-J3,Renofa Yamaguchi,Gainare Tottori,,,6.0,9.0,6.0,4.0,8.0,8.0,18.0,14.0,106.0,92.0,57.0,39.0,62.0,38.0,,,11.0,7.0,7.0,7.0,6.0,1.0,11.0,14.0,16.0,12.0,6.0,7.0,2.0,5.0,0.0,3.0,1.72,3.64,4.55,,,,,,,1.93,1.88,1.65,3.8,4.0,1.8,1.9,,,1.82,1.97,1.9,1.9,0.58,0.27,0.22,,,,,,,0.52,0.53,0.61,0.26,0.25,0.56,0.53,,,0.55,0.51,0.53,0.53,2026
Kochi United vs Nara Club,2026-03-01 05:00:00,Kochi United won after full-time.,Liga de Visão de 100 Anos J2-J3,Kochi United,Nara Club,2.0,0.0,3.0,9.0,6.0,2.0,7.0,3.0,19.0,4.0,88.0,71.0,59.0,52.0,45.0,55.0,,,8.0,2.0,11.0,2.0,2.0,1.0,9.0,12.0,,,12.0,7.0,0.0,2.0,1.0,1.0,1.99,3.29,3.78,,,,,1.88,1.93,,,1.9,3.25,3.5,1.8,1.9,,,1.82,1.97,,,0.5,0.3,0.26,,,,,0.53,0.52,,,0.53,0.31,0.29,0.56,0.53,,,0.55,0.51,,,2026
Imabari vs Albirex Niigata,2026-03-01 05:00:00,Albirex Niigata won after full-time.,Liga de Visão de 100 Anos J2-J3,Imabari,Albirex Niigata,0.0,2.0,4.0,5.0,6.0,1.0,3.0,1.0,6.0,8.0,105.0,76.0,46.0,32.0,66.0,34.0,0.0,1.0,5.0,6.0,1.0,2.0,5.0,4.0,3.0,14.0,,,10.0,20.0,1.0,1.0,0.0,3.0,3.05,2.98,2.45,,,1.76,2.07,2.07,1.76,,,2.87,3.0,2.3,1.72,2.0,,,1.75,2.05,,,0.33,0.34,0.41,,,0.57,0.48,0.48,0.57,,,0.35,0.33,0.43,0.58,0.5,,,0.57,0.49,,,2026
Zweigen Kanazawa vs Kamatamare Sanuki,2026-03-01 05:00:00,Zweigen Kanazawa won after full-time.,Liga de Visão de 100 Anos J2-J3,Zweigen Kanazawa,Kamatamare Sanuki,1.0,0.0,6.0,10.0,6.0,6.0,4.0,4.0,13.0,9.0,92.0,87.0,45.0,39.0,55.0,45.0,,,10.0,3.0,3.0,6.0,5.0,0.0,8.0,9.0,6.0,5.0,12.0,14.0,2.0,1.0,1.0,0.0,1.5,3.95,6.59,,,,,1.78,2.02,2.0,1.82,1.45,4.2,5.0,1.66,2.1,,,2.0,1.8,1.77,2.02,0.67,0.25,0.15,,,,,0.56,0.5,0.5,0.55,0.69,0.24,0.2,0.6,0.48,,,0.5,0.56,0.56,0.5,2026
Iwaki vs Fujieda MYFC,2026-03-01 05:00:00,Fujieda MYFC won after full-time.,Liga de Visão de 100 Anos J2-J3,Iwaki,Fujieda MYFC,1.0,2.0,4.0,6.0,5.0,6.0,14.0,0.0,18.0,8.0,113.0,77.0,66.0,32.0,66.0,34.0,,,14.0,6.0,4.0,2.0,2.0,0.0,2.0,11.0,10.0,4.0,10.0,14.0,1.0,1.0,1.0,0.0,1.89,3.49,3.91,,,,,1.83,1.99,1.9,1.9,1.85,3.6,3.4,1.8,1.9,,,1.87,1.92,1.77,2.02,0.53,0.29,0.26,,,,,0.55,0.5,0.53,0.53,0.54,0.28,0.29,0.56,0.53,,,0.53,0.52,0.56,0.5,2026
Sagamihara vs Montedio Yamagata,2026-03-01 05:00:00,Sagamihara won after full-time.,Liga de Visão de 100 Anos J2-J3,Sagamihara,Montedio Yamagata,2.0,1.0,9.0,4.0,9.0,2.0,4.0,1.0,11.0,2.0,103.0,89.0,70.0,26.0,43.0,57.0,,,7.0,2.0,4.0,0.0,0.0,4.0,8.0,15.0,4.0,2.0,17.0,13.0,1.0,0.0,1.0,0.0,3.71,3.56,1.91,,,,,,,2.04,1.79,3.5,3.4,1.9,1.72,2.0,,,,,2.02,1.77,0.27,0.28,0.52,,,,,,,0.49,0.56,0.29,0.29,0.53,0.58,0.5,,,,,0.5,0.56,2026
Tochigi vs Yokohama,2026-03-01 05:00:00,Tochigi won after full-time.,Liga de Visão de 100 Anos J2-J3,Tochigi,Yokohama,4.0,0.0,8.0,5.0,6.0,5.0,4.0,2.0,15.0,10.0,69.0,66.0,50.0,42.0,42.0,58.0,,,8.0,4.0,7.0,6.0,0.0,1.0,8.0,10.0,12.0,5.0,6.0,7.0,4.0,2.0,0.0,1.0,3.06,3.44,2.2,,,,,2.04,1.79,,,2.75,3.25,2.2,1.72,2.0,,,2.02,1.77,,,0.33,0.29,0.45,,,,,0.49,0.56,,,0.36,0.31,0.45,0.58,0.5,,,0.5,0.56,,,2026
Sagamihara vs ThespaKusatsu Gunma,2026-03-04 09:30:00,Sagamihara won after full-time.,Liga de Visão de 100 Anos J2-J3,Sagamihara,ThespaKusatsu Gunma,5.0,0.0,9.0,6.0,10.0,5.0,3.0,7.0,21.0,10.0,67.0,59.0,31.0,29.0,34.0,66.0,,,13.0,4.0,8.0,6.0,4.0,0.0,11.0,11.0,,,9.0,7.0,0.0,6.0,1.0,1.0,2.35,3.17,3.03,,,,,1.96,1.86,,,2.35,3.1,2.75,1.8,1.9,,,2.0,1.8,,,0.43,0.32,0.33,,,,,0.51,0.54,,,0.43,0.32,0.36,0.56,0.53,,,0.5,0.56,,,2026
Osaka vs Nara Club,2026-03-06 10:00:00,Osaka won after full-time.,Liga de Visão de 100 Anos J2-J3,Osaka,Nara Club,2.0,0.0,8.0,9.0,6.0,1.0,6.0,4.0,22.0,7.0,122.0,140.0,66.0,59.0,40.0,60.0,,,14.0,4.0,8.0,3.0,1.0,1.0,8.0,12.0,,,7.0,11.0,1.0,5.0,1.0,0.0,2.14,3.26,3.36,,,,,1.89,1.87,1.83,1.99,2.15,3.5,2.75,1.66,2.1,,,1.8,2.0,1.82,1.97,0.47,0.31,0.3,,,,,0.53,0.53,0.55,0.5,0.47,0.29,0.36,0.6,0.48,,,0.56,0.5,0.55,0.51,2026
